keyword,parent,company,funnel,until_date,status,date_range_start,date_range_end,data_points
furby,mister car wash,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
power rangers,card factory,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
peppa pig,boot barn,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pj masks,sandro,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
beyblade,card factory,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
twister,answear,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
jenga,american eagle outfitters,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
candy land,answear,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
the game of life,boot barn,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
clue,card factory,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
risk,boot barn,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
scrabble,under armour,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
cranium,american eagle outfitters,"Hasbro, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
wittchen,trustpilot,Wittchen,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
kay jewelers,boot barn,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
jared the galleria of jewelry,answear,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
zales,mister car wash,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
h samuel,card factory,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
ernest jones,webjet,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
peoples jewellers,american eagle outfitters,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pagoda,sandro,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
james allen,sandro,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rocksbox,trustpilot,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
diamonds direct,american eagle outfitters,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
blue nile,card factory,Signet Jewelers Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
carter's,mister car wash,"Carter's, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
oshkosh b'gosh,answear,"Carter's, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
skip hop,trustpilot,"Carter's, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
little planet,boot barn,"Carter's, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
yalla,mister car wash,Yalla Group Ltd. Sponsored ADR Class ADR,branded,2020-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
yalla ludo,boot barn,Yalla Group Ltd. Sponsored ADR Class ADR,branded,2020-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
yallaplay,mister car wash,Yalla Group Ltd. Sponsored ADR Class ADR,branded,2020-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rh,trustpilot,Restoration Hardware,branded,2015-10-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rh baby & child,american eagle outfitters,Restoration Hardware,branded,2015-10-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
rh teen,boot barn,Restoration Hardware,branded,2015-10-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rh modern,mister car wash,Restoration Hardware,branded,2015-10-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rh hospitality,answear,Restoration Hardware,branded,2015-10-31,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261
theon,trustpilot,Theon International PlcD,branded,2025-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
gloria jean's coffees,card factory,Retail Food Group LimitedD,branded,2013-12-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
donut king,under armour,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
brumby's bakery,webjet,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
michel's patisserie,mister car wash,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
crust gourmet pizza bar,american eagle outfitters,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pizza capers,webjet,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
the coffee guy,trustpilot,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
cafe 63,boot barn,Retail Food Group LimitedD,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
suncar,answear,SunCar Technology Group Inc.,branded,2025-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
smart parking,american eagle outfitters,Smart Parking LimitedD,branded,2025-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
jet2com,sandro,Jet2 PLC,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
jet2holidays,boot barn,Jet2 PLC,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
lionsgate,answear,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
summit entertainment,trustpilot,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
starz,answear,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pantelion films,american eagle outfitters,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
lionsgate play,webjet,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
the hunger games,trustpilot,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
john wick,boot barn,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
twilight,mister car wash,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
divergent,american eagle outfitters,Lionsgate Studios Corp,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hamilton beach,american eagle outfitters,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
proctor silex,boot barn,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
west bend,sandro,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
trueair,mister car wash,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
chi,american eagle outfitters,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
wolf gourmet,webjet,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hamilton beach commercial,answear,Hamilton Beach Brands Holding Company,branded,2017-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
richtech robotics,answear,Richtech Robotics Inc.,branded,2025-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
adam,answear,Richtech Robotics Inc.,branded,2025-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
gracie,boot barn,Richtech Robotics Inc.,branded,2025-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
robochef,card factory,Richtech Robotics Inc.,branded,2025-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
mini-bot,answear,Richtech Robotics Inc.,branded,2025-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
wynn las vegas,answear,"Wynn Resorts, Limited",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
encore at wynn las vegas,webjet,"Wynn Resorts, Limited",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
wynn macau,sandro,"Wynn Resorts, Limited",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
encore at wynn macau,american eagle outfitters,"Wynn Resorts, Limited",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
wynn palace,card factory,"Wynn Resorts, Limited",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
encore boston harbor,card factory,"Wynn Resorts, Limited",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
howdens,trustpilot,Howden Joinery Group PLC,branded,2015-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
planet fitness,answear,"Planet Fitness, Inc.",branded,2015-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
onewater marine,american eagle outfitters,OneWater Marine Inc.,branded,2019-12-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
singleton marine,webjet,OneWater Marine Inc.,branded,2019-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
legendary marine,webjet,OneWater Marine Inc.,branded,2019-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
grande yachts international,trustpilot,OneWater Marine Inc.,branded,2019-12-31,NOT_NORMALIZED,,,0,No data for grande yachts international in window 1
naples boat mart,boot barn,OneWater Marine Inc.,branded,2019-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
plantation boat mart & marina,american eagle outfitters,OneWater Marine Inc.,branded,2019-12-31,NOT_NORMALIZED,,,0,No data for plantation boat mart & marina in window 1
quality boats,american eagle outfitters,OneWater Marine Inc.,branded,2019-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
galati yacht sales,card factory,OneWater Marine Inc.,branded,2019-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
plato's closet,card factory,Winmark Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
once upon a child,answear,Winmark Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
play it again sports,sandro,Winmark Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
style encore,trustpilot,Winmark Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
music go round,under armour,Winmark Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
afya,webjet,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
medcel,card factory,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
iclinic,trustpilot,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pebmed,boot barn,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
whitebook,trustpilot,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
sanarflix,under armour,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
cardiopapers,american eagle outfitters,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
academia médica,webjet,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
faculdade de ciências médicas de minas gerais (fcmmg),webjet,Afya Limited,branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
centro universitário são lucas (unisl),boot barn,Afya Limited,branded,2019-06-30,NOT_NORMALIZED,,,0,No data for centro universitário são lucas (unisl) in window 1
faculdade de medicina nova esperança (famene),boot barn,Afya Limited,branded,2019-06-30,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261
ruger,webjet,"Sturm, Ruger & Company, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
cettire,mister car wash,Cettire Ltd.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
culti milano,webjet,Culti Milano SpA,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
fjällräven,under armour,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
tierra,mister car wash,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hanwag,mister car wash,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
primus,trustpilot,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
brunton,under armour,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
royal robbins,card factory,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
globetrotter,answear,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
naturkompaniet,card factory,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
partioaitta,mister car wash,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
friluftsland,mister car wash,Fenix Outdoor International AG Series BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
clorox,answear,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pinesol,under armour,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
liquidplumr,card factory,Clorox Company (The),branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
glad,sandro,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
kingsford,mister car wash,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hidden valley,trustpilot,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
fresh step,american eagle outfitters,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
scoop away,webjet,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
burt's bees,webjet,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
brita,boot barn,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
formula 409,sandro,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
tilex,under armour,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
s.o.s,sandro,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
kitchen bouquet,answear,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
kc masterpiece,mister car wash,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
ayudín,american eagle outfitters,Clorox Company (The),branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
green works,answear,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
renewlife,boot barn,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rainbow light,answear,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
natural vitality,card factory,Clorox Company (The),branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hooker furniture,webjet,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
sam moore furniture,mister car wash,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
bradington young,trustpilot,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
accentrics home,webjet,Hooker Furnishings Corporation,branded,2010-01-31,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261
h contract,under armour,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pulaski furniture,mister car wash,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
samuel lawrence furniture,mister car wash,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hbf,webjet,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
hbf textiles,mister car wash,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
shenandoah furniture,mister car wash,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
sunset west,card factory,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
m,card factory,Hooker Furnishings Corporation,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
arlen sad,answear,Arlen SAD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
aristocrat,card factory,Aristocrat Leisure LimitedD,branded,2014-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
product madness,trustpilot,Aristocrat Leisure LimitedD,branded,2014-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
plarium,trustpilot,Aristocrat Leisure LimitedD,branded,2014-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
big fish games,mister car wash,Aristocrat Leisure LimitedD,branded,2014-03-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7420830450601439233) | keyword='big fish games', date_from='2016-02-28', date_to='2021-02-27' | No Content"
havertys,sandro,"Haverty Furniture Companies, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
club lime,sandro,Viva Leisure Ltd.D,branded,2010-01-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7420830713802415105) | keyword='club lime', date_from='2016-02-28', date_to='2021-02-27' | No Content"
hiit republic,trustpilot,Viva Leisure Ltd.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
plus fitness,answear,Viva Leisure Ltd.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
pinnacle health clubs,boot barn,Viva Leisure Ltd.D,branded,2010-01-31,NOT_NORMALIZED,,,0,No data for pinnacle health clubs in window 1
studio.c,trustpilot,Viva Leisure Ltd.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
gymmy,trustpilot,Viva Leisure Ltd.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
groundup,american eagle outfitters,Viva Leisure Ltd.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
angling direct,card factory,Angling Direct Plc,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
douglas,under armour,Douglas AGD,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
nocibé,answear,Douglas AGD,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
the perfume shop,answear,Douglas AGD,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
parfumdreams,under armour,Douglas AGD,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
limoni,under armour,Douglas AGD,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
peloton,sandro,"Peloton Interactive, Inc.",branded,2019-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
bijou brigitte,american eagle outfitters,Bijou Brigitte modische Accessoires AGD,branded,2010-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
six,boot barn,Bijou Brigitte modische Accessoires AGD,branded,2010-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
domino's pizza,mister car wash,DP Poland PLC,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
dr. miele,boot barn,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
cosmed,under armour,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
mesoestetic,sandro,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
neostrata,under armour,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
heliocare,under armour,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
endocare,answear,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
isdin,answear,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
sesderma,trustpilot,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
phformula,sandro,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
skinceuticals,mister car wash,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
filorga,card factory,Dr. Miele Cosmed Group S.A.D,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
masterbeef,boot barn,MasterBeef Group,branded,2010-01-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
steak n shake,american eagle outfitters,Biglari Holdings Inc.,branded,2016-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
western sizzlin,answear,Biglari Holdings Inc.,branded,2016-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
first guard insurance company,card factory,Biglari Holdings Inc.,branded,2016-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
maxim,card factory,Biglari Holdings Inc.,branded,2016-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
the reef hotel casino,under armour,Reef Casino TrustD,branded,2010-01-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7420834151604969473) | keyword='the reef hotel casino', date_from='2016-02-28', date_to='2021-02-27' | No Content"
cato,answear,Cato Corporation (The),branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
versona,under armour,Cato Corporation (The),branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
its fashion,trustpilot,Cato Corporation (The),branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
its fashion metro,webjet,Cato Corporation (The),branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
leifheit,mister car wash,Leifheit AGD,branded,2010-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
